"particip_code","rec_session","PE","rec_acc"
1,2,"medium",0
1,1,"low",0
1,1,"high",0
1,2,"high",0
1,1,"high",0
1,1,"high",0
1,2,"medium",0
1,2,"medium",0
1,2,"medium",0
1,2,"low",0
1,2,"medium",0
1,1,"high",0
1,2,"high",0
1,2,"medium",1
1,1,"low",0
1,1,"medium",0
1,1,"high",1
1,1,"medium",0
1,2,"low",0
1,2,"medium",0
1,1,"medium",0
1,1,"high",1
1,1,"high",0
1,1,"medium",1
1,1,"high",0
1,2,"medium",0
1,1,"medium",0
1,1,"medium",1
1,1,"medium",0
1,1,"medium",1
1,1,"medium",1
1,1,"low",1
1,2,"low",0
1,1,"low",0
1,2,"medium",0
1,1,"medium",0
1,1,"high",0
1,2,"high",0
1,1,"medium",0
1,2,"low",1
1,2,"medium",0
1,2,"low",0
1,2,"high",0
1,2,"high",0
1,2,"low",0
1,1,"low",0
1,1,"medium",1
1,2,"high",0
1,2,"high",0
1,1,"high",1
1,1,"medium",0
1,1,"high",0
1,2,"medium",0
1,2,"medium",0
1,1,"medium",0
1,1,"medium",0
1,2,"medium",1
1,2,"low",0
1,1,"high",0
1,1,"low",0
1,1,"medium",1
1,1,"high",0
1,2,"low",0
1,2,"medium",0
1,2,"low",0
1,2,"high",0
1,1,"low",0
1,1,"low",0
1,1,"low",0
1,1,"medium",0
1,1,"low",0
1,2,"medium",0
1,1,"medium",0
1,2,"medium",0
1,1,"medium",1
1,1,"medium",0
1,2,"medium",0
1,1,"high",0
1,1,"medium",0
1,1,"high",1
1,2,"medium",0
1,1,"low",1
1,2,"medium",0
1,1,"low",0
1,2,"medium",0
1,1,"medium",1
1,1,"medium",0
1,2,"medium",0
1,1,"high",0
1,2,"medium",0
1,1,"medium",0
1,2,"high",0
1,1,"medium",0
1,1,"low",0
1,2,"high",0
1,1,"medium",0
1,2,"medium",0
1,2,"medium",0
1,2,"high",0
1,1,"low",1
1,1,"high",0
1,1,"high",0
1,1,"high",0
1,2,"medium",0
1,2,"medium",0
1,2,"low",0
1,2,"low",0
1,1,"medium",1
1,1,"low",0
1,1,"high",0
1,1,"low",1
1,1,"medium",0
1,1,"high",0
1,1,"low",0
1,1,"low",0
1,2,"high",0
1,1,"medium",0
1,2,"medium",1
1,2,"medium",0
1,1,"low",1
1,2,"low",0
1,1,"low",1
1,2,"low",0
1,2,"medium",0
1,2,"low",0
1,2,"high",0
1,2,"low",0
1,1,"low",0
1,1,"medium",0
1,1,"medium",1
1,2,"high",0
1,1,"medium",1
1,2,"high",0
1,2,"low",0
1,2,"high",0
1,2,"low",0
1,2,"low",0
1,2,"medium",0
1,1,"medium",0
1,2,"high",0
1,2,"high",0
1,2,"medium",0
1,2,"high",0
1,1,"low",0
1,2,"high",1
1,2,"medium",0
1,2,"medium",1
1,1,"high",0
1,2,"low",0
1,2,"low",0
1,2,"high",0
1,2,"medium",0
1,2,"high",0
1,2,"high",0
1,1,"medium",0
1,2,"low",0
1,1,"high",0
1,2,"low",0
1,1,"high",0
1,2,"high",0
1,1,"low",0
1,2,"low",0
1,1,"medium",0
1,2,"medium",0
1,1,"medium",0
1,2,"medium",0
1,2,"low",0
1,1,"low",1
2,1,"medium",0
2,2,"low",0
2,1,"low",0
2,2,"medium",1
2,2,"high",0
2,2,"high",0
2,2,"medium",0
2,1,"medium",1
2,1,"medium",1
2,2,"high",1
2,1,"medium",1
2,2,"high",0
2,1,"low",1
2,1,"high",1
2,1,"medium",1
2,2,"low",1
2,1,"high",1
2,1,"medium",1
2,2,"medium",1
2,2,"medium",0
2,2,"high",1
2,2,"medium",1
2,1,"low",1
2,2,"medium",1
2,1,"high",0
2,1,"low",0
2,1,"medium",1
2,2,"medium",1
2,1,"low",1
2,2,"low",1
2,2,"low",0
2,1,"medium",1
2,2,"high",1
2,2,"medium",1
2,2,"high",1
2,2,"medium",1
2,2,"low",0
2,1,"low",0
2,1,"medium",1
2,2,"medium",0
2,1,"high",1
2,2,"medium",1
2,1,"high",0
2,2,"medium",1
2,1,"high",1
2,2,"low",0
2,1,"high",1
2,2,"high",1
2,1,"medium",1
2,2,"low",1
2,1,"high",0
2,1,"high",0
2,2,"medium",0
2,1,"medium",0
2,2,"low",1
2,1,"low",1
2,1,"low",0
2,2,"high",1
2,1,"medium",0
2,1,"high",1
2,2,"high",0
2,1,"low",0
2,1,"medium",1
2,1,"medium",0
2,2,"high",1
2,2,"high",1
2,1,"low",1
2,2,"high",0
2,2,"medium",1
2,2,"medium",1
2,1,"high",1
2,1,"low",0
2,2,"low",1
2,2,"medium",1
2,1,"medium",1
2,2,"low",1
2,1,"medium",0
2,1,"medium",0
2,1,"low",1
2,1,"medium",1
2,2,"high",1
2,1,"medium",1
2,2,"medium",0
2,1,"high",1
2,2,"medium",0
2,1,"medium",0
2,1,"low",0
2,1,"medium",0
2,1,"high",1
2,1,"medium",1
2,2,"medium",0
2,1,"medium",1
2,2,"low",1
2,2,"high",1
2,2,"medium",1
2,2,"medium",0
2,2,"low",1
2,1,"high",1
2,2,"high",1
2,1,"medium",0
2,2,"low",1
2,2,"low",1
2,2,"medium",0
2,1,"low",0
2,1,"low",0
2,1,"high",1
2,1,"medium",1
2,2,"medium",1
2,1,"medium",1
2,2,"medium",0
2,1,"high",1
2,2,"low",0
2,2,"low",1
2,2,"low",1
2,2,"high",0
2,1,"high",1
2,1,"medium",1
2,2,"medium",1
2,1,"medium",0
2,2,"medium",1
2,1,"medium",1
2,1,"medium",1
2,1,"low",0
2,1,"medium",1
2,1,"high",0
2,2,"high",1
2,2,"medium",1
2,2,"medium",1
2,2,"low",0
2,2,"low",1
2,1,"medium",1
2,2,"medium",1
2,1,"medium",0
2,1,"low",0
2,1,"medium",0
2,2,"medium",1
2,2,"medium",0
2,2,"high",1
2,2,"low",1
2,1,"low",1
2,2,"high",1
2,2,"high",0
2,1,"high",1
2,1,"medium",1
2,1,"low",1
2,1,"high",0
2,1,"low",1
2,2,"high",1
2,1,"low",0
2,2,"high",0
2,2,"medium",0
2,1,"low",0
2,2,"low",1
2,1,"low",1
2,1,"high",1
2,1,"low",1
2,2,"medium",1
2,2,"medium",1
2,1,"high",1
2,2,"low",1
2,2,"medium",0
2,1,"high",1
2,1,"high",0
2,2,"low",0
2,2,"low",0
2,1,"medium",1
2,2,"high",0
2,2,"medium",1
3,2,"medium",0
3,1,"low",0
3,1,"high",0
3,2,"high",0
3,1,"high",0
3,1,"high",1
3,2,"medium",0
3,2,"medium",0
3,2,"medium",0
3,2,"low",0
3,2,"medium",0
3,1,"high",0
3,2,"high",0
3,2,"medium",0
3,1,"low",0
3,1,"medium",0
3,1,"high",1
3,1,"medium",1
3,2,"low",0
3,2,"medium",0
3,1,"medium",0
3,1,"high",0
3,1,"high",0
3,1,"medium",0
3,1,"high",0
3,2,"medium",1
3,1,"medium",0
3,1,"medium",0
3,1,"medium",0
3,1,"medium",0
3,1,"medium",1
3,1,"low",0
3,2,"low",0
3,1,"low",1
3,2,"medium",1
3,1,"medium",0
3,1,"high",1
3,2,"high",0
3,1,"medium",1
3,2,"low",0
3,2,"medium",1
3,2,"low",0
3,2,"high",1
3,2,"high",0
3,2,"low",0
3,1,"low",0
3,1,"medium",0
3,2,"high",0
3,2,"high",0
3,1,"high",1
3,1,"medium",1
3,1,"high",0
3,2,"medium",0
